"Date","Open","High","Low","Close"
"06 Jun 2023","18600.80","18622.75","18531.60","18599.00"
"05 Jun 2023","18612.00","18640.15","18582.80","18593.85"
"02 Jun 2023","18550.85","18573.70","18478.40","18534.10"
"01 Jun 2023","18579.40","18580.30","18464.55","18487.75"
"31 May 2023","18594.20","18603.90","18483.85","18534.40"
"30 May 2023","18606.65","18662.45","18575.50","18633.85"
"29 May 2023","18619.15","18641.20","18581.25","18598.65"
"26 May 2023","18368.35","18508.55","18333.15","18499.35"
"25 May 2023","18268.90","18338.10","18202.40","18321.15"
"24 May 2023","18294.80","18392.60","18262.95","18285.40"
"23 May 2023","18362.90","18419.75","18324.20","18348.00"
"22 May 2023","18201.10","18335.25","18178.85","18314.40"
"19 May 2023","18186.15","18218.10","18060.40","18203.40"
"18 May 2023","18287.50","18297.20","18104.85","18129.95"
"17 May 2023","18300.45","18309.00","18115.35","18181.75"
"16 May 2023","18432.35","18432.35","18264.35","18286.50"
"15 May 2023","18339.30","18458.90","18287.90","18398.85"
"12 May 2023","18273.75","18342.75","18194.55","18314.80"
"11 May 2023","18357.80","18389.70","18270.40","18297.00"
"10 May 2023","18313.60","18326.75","18211.95","18315.10"
"09 May 2023","18303.40","18344.20","18229.65","18265.95"
"08 May 2023","18120.60","18286.95","18100.30","18264.40"
